MCC;Название;Группа;Обновлено;;;;;
3613;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3613,'Отели, мотели, курорты ');";
3614;Отели, мотели, курорты;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3614,'Отели, мотели, курорты ');";
3615;Travelodge;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3615,'Travelodge ');";
3616;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3616,'Отели, мотели, курорты ');";
3617;Отели, мотели, курорты;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3617,'Отели, мотели, курорты ');";
3618;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3618,'Отели, мотели, курорты ');";
3619;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3619,'Отели, мотели, курорты ');";
3620;Telford International;Отели и мотели;13.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3620,'Telford International ');";
3621;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3621,'Отели, мотели, курорты ');";
3622;Merlin Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3622,'Merlin Hotels ');";
3623;Dorint Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3623,'Dorint Hotels ');";
3624;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3624,'Отели, мотели, курорты ');";
3625;Hotle Universale;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3625,'Hotle Universale ');";
3626;Prince Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3626,'Prince Hotels ');";
3627;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3627,'Отели, мотели, курорты ');";
3628;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3628,'Отели, мотели, курорты ');";
3629;Dan Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3629,'Dan Hotels ');";
3630;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3630,'Отели, мотели, курорты ');";
3631;Отели, мотели, курорты;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3631,'Отели, мотели, курорты ');";
3632;Отели, мотели, курорты;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3632,'Отели, мотели, курорты ');";
3633;Rank Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3633,'Rank Hotels ');";
3634;Swissotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3634,'Swissotel ');";
3635;Reso Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3635,'Reso Hotels ');";
3636;Sarova Hotels;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3636,'Sarova Hotels ');";
3637;Ramada Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3637,'Ramada Inns ');";
3638;Ho Jo Inn;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3638,'Ho Jo Inn ');";
3639;Mount Charlotte Thistle;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3639,'Mount Charlotte Thistle ');";
3640;Hyatt Hotel;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3640,'Hyatt Hotel ');";
3641;Sofitel Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3641,'Sofitel Hotels ');";
3642;Novotel Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3642,'Novotel Hotels ');";
3643;Steigenberger Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3643,'Steigenberger Hotels ');";
3644;Econo Lodges;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3644,'Econo Lodges ');";
3645;Queens Moat Houses;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3645,'Queens Moat Houses ');";
3646;Swallow Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3646,'Swallow Hotels ');";
3647;Husa Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3647,'Husa Hotels ');";
3648;De Vere Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3648,'De Vere Hotels ');";
3649;Radisson Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3649,'Radisson Hotels ');";
3650;Red Rook Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3650,'Red Rook Inns ');";
3651;Imperial London Hotel;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3651,'Imperial London Hotel ');";
3652;Embassy Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3652,'Embassy Hotels ');";
3653;Penta Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3653,'Penta Hotels ');";
3654;Loews Hotels;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3654,'Loews Hotels ');";
3655;Scandic Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3655,'Scandic Hotels ');";
3656;Sara Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3656,'Sara Hotels ');";
3657;Oberoi Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3657,'Oberoi Hotels ');";
3658;Otani Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3658,'Otani Hotels ');";
3659;Taj Hotels International;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3659,'Taj Hotels International ');";
3660;Knights Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3660,'Knights Inns ');";
3661;Metropole Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3661,'Metropole Hotels ');";
3662;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3662,'Отели, мотели, курорты ');";
3663;Hoteles El Presidents;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3663,'Hoteles El Presidents ');";
3664;Flag Inn;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3664,'Flag Inn ');";
3665;Hampton Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3665,'Hampton Inns ');";
3666;Stakis Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3666,'Stakis Hotels ');";
3667;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3667,'Отели, мотели, курорты ');";
3668;Maritim Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3668,'Maritim Hotels ');";
3669;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3669,'Отели, мотели, курорты ');";
3670;Arcard Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3670,'Arcard Hotels ');";
3671;Arctia Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3671,'Arctia Hotels ');";
3672;Campaniel Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3672,'Campaniel Hotels ');";
3673;Ibusz Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3673,'Ibusz Hotels ');";
3674;Rantasipi Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3674,'Rantasipi Hotels ');";
3675;Interhotel Cedok;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3675,'Interhotel Cedok ');";
3676;Отели, мотели, курорты;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3676,'Отели, мотели, курорты ');";
3677;Climat De France Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3677,'Climat De France Hotels ');";
3678;Cumulus Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3678,'Cumulus Hotels ');";
3679;Danubius Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3679,'Danubius Hotel ');";
3680;Отели, мотели, курорты;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3680,'Отели, мотели, курорты ');";
3681;Adams Mark Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3681,'Adams Mark Hotels ');";
3682;Allstar Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3682,'Allstar Inns ');";
3683;Отели, мотели, курорты;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3683,'Отели, мотели, курорты ');";
3684;Budget Host Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3684,'Budget Host Inns ');";
3685;Budgetel Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3685,'Budgetel Hotels ');";
3686;Suisse Chalets;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3686,'Suisse Chalets ');";
3687;Clarion Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3687,'Clarion Hotels ');";
3688;Compri Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3688,'Compri Hotels ');";
3689;Consort Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3689,'Consort Hotels ');";
3690;Courtyard By Marriott;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3690,'Courtyard By Marriott ');";
3691;Dillion Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3691,'Dillion Inns ');";
3692;Doubletree Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3692,'Doubletree Hotels ');";
3693;Drury Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3693,'Drury Inns ');";
3694;Economy Inns Of America;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3694,'Economy Inns Of America ');";
3695;Embassy Suites;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3695,'Embassy Suites ');";
3696;Exel Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3696,'Exel Inns ');";
3697;Farfield Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3697,'Farfield Hotels ');";
3698;Harley Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3698,'Harley Hotels ');";
3699;Midway Motor Lodge;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3699,'Midway Motor Lodge ');";
3700;Motel 6;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3700,'Motel 6 ');";
3701;Guest Quarters (formally Pickett Suite Hotels);Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3701,'Guest Quarters (formally Pickett Suite Hotels) ');";
3702;The Registry Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3702,'The Registry Hotels ');";
3703;Residence Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3703,'Residence Inns ');";
3704;Royce Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3704,'Royce Hotels ');";
3705;Sandman Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3705,'Sandman Inns ');";
3706;Shilo Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3706,'Shilo Inns ');";
3707;Shoney’s Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3707,'Shoney’s Inns ');";
3708;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3708,'Отели, мотели, курорты ');";
3709;Super8 Motels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3709,'Super8 Motels ');";
3710;The Ritz Carlton Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3710,'The Ritz Carlton Hotels ');";
3711;Flag Inns (Ausralia);Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3711,'Flag Inns (Ausralia) ');";
3712;Golden Chain Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3712,'Golden Chain Hotel ');";
3713;Quality Pacific Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3713,'Quality Pacific Hotel ');";
3714;Four Seasons Hotel (Australia);Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3714,'Four Seasons Hotel (Australia) ');";
3715;Farifield Inn;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3715,'Farifield Inn ');";
3716;Carlton Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3716,'Carlton Hotels ');";
3717;City Lodge Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3717,'City Lodge Hotels ');";
3718;Karos Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3718,'Karos Hotels ');";
3719;Protea Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3719,'Protea Hotels ');";
3720;Southern Sun Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3720,'Southern Sun Hotels ');";
3721;Hilton Conrad;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3721,'Hilton Conrad ');";
3722;Wyndham Hotel And Resorts;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3722,'Wyndham Hotel And Resorts ');";
3723;Rica Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3723,'Rica Hotels ');";
3724;Iner Nor Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3724,'Iner Nor Hotels ');";
3725;Seaines Planation;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3725,'Seaines Planation ');";
3726;Rio Suites;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3726,'Rio Suites ');";
3727;Broadmoor Hotel;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3727,'Broadmoor Hotel ');";
3728;Bally’s Hotel And Casino;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3728,'Bally’s Hotel And Casino ');";
3729;John Ascuaga’s Nugget;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3729,'John Ascuaga’s Nugget ');";
3730;Mgm Grand Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3730,'Mgm Grand Hotel ');";
3731;Harrah’s Hotels And Casinos;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3731,'Harrah’s Hotels And Casinos ');";
3732;Opryland Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3732,'Opryland Hotel ');";
3733;Boca Raton Resort;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3733,'Boca Raton Resort ');";
3734;Harvey/bristol Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3734,'Harvey/bristol Hotels ');";
3735;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3735,'Отели, мотели, курорты ');";
3736;Colorado Belle/Edgewater Resort;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3736,'Colorado Belle/Edgewater Resort ');";
3737;Riviera Hotel And Casino;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3737,'Riviera Hotel And Casino ');";
3738;Tropicana Resort And Casino;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3738,'Tropicana Resort And Casino ');";
3739;Woodside Hotels And Resorts;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3739,'Woodside Hotels And Resorts ');";
3740;Townplace Suites;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3740,'Townplace Suites ');";
3741;Millenium Broadway Hotel;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3741,'Millenium Broadway Hotel ');";
3742;Club Med;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3742,'Club Med ');";
3743;Biltmore Hotel And Suites;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3743,'Biltmore Hotel And Suites ');";
3744;Carefree Resorts;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3744,'Carefree Resorts ');";
